ngram,prediction,freq,prop
course,we,77,0.014206642
court,.,210,0.393258427
court,of,324,0.606741573
courtesy,of,84,1
cover,.,502,0.323662153
cover,and,428,0.275950999
cover,of,36,0.023210832
cover,the,585,0.377176015
covered,in,748,0.90776699
covered,with,76,0.09223301
cr,.,177,1
craft,beer,113,1
crap,.,46,1
crazy,.,754,1
cream,.,735,0.494949495
cream,and,383,0.257912458
cream,cheese,367,0.247138047
create,a,2054,0.79060816
create,the,544,0.20939184
created,a,796,0.551628552
created,by,610,0.422730423
created,the,37,0.025641026
creating,a,795,1
creation,.,73,0.15835141
creation,of,388,0.84164859
credit,card,77,0.663793103
credit,for,39,0.336206897
crime,.,36,1
crowd,.,82,1
cry,.,303,1
cu,.,151,1
culture,.,617,0.625760649
culture,and,369,0.374239351
cup,.,405,0.213607595
cup,of,1491,0.786392405
cups,of,230,1
customer,service,116,1
cut,.,76,0.025198939
cut,a,36,0.01193634
cut,into,502,0.166445623
cut,it,275,0.091180371
cut,off,348,0.115384615
cut,out,883,0.292771883
cut,the,896,0.297082228
cute,.,645,0.730464326
cute,and,75,0.084937712
cute,little,163,0.184597961
d,.,1034,0.967259121
d,the,35,0.032740879
da,.,294,1
dad,.,301,0.574427481
dad,and,223,0.425572519
daily,.,78,0.639344262
daily,basis,44,0.360655738
damage,.,38,1
dance,.,175,1
dark,.,128,0.18879056
dark,and,550,0.81120944
darkness,.,37,1
date,.,715,1
daughter,.,406,0.589259797
daughter,and,283,0.410740203
day,.,10552,0.338150937
day,a,36,0.001153661
day,after,605,0.019387919
day,and,3225,0.103348822
day,as,302,0.009677936
day,at,741,0.023746195
day,before,570,0.018266303
day,but,566,0.018138119
day,for,858,0.027495594
day,he,77,0.002467553
day,i,2222,0.071206537
day,in,1336,0.042813652
day,into,35,0.001121615
day,is,758,0.024290979
day,it,215,0.006889921
day,of,2455,0.07867329
day,off,116,0.003717353
day,on,300,0.009613844
day,or,604,0.019355872
day,so,106,0.003396892
day,th,50,0.001602307
day,that,706,0.022624579
day,the,621,0.019900657
day,to,1446,0.046338728
day,was,516,0.016535812
day,we,708,0.022688672
day,when,735,0.023553918
day,with,707,0.022656626
day,you,37,0.001185707
days,.,3424,0.339345887
days,a,86,0.00852329
days,after,146,0.014469772
days,ago,705,0.06987116
days,and,1114,0.110406343
days,before,293,0.029038652
days,i,757,0.075024777
days,in,647,0.064122894
days,later,480,0.047571853
days,of,1565,0.155104063
days,to,584,0.057879088
days,when,289,0.02864222
de,.,466,1
dead,.,905,1
deal,.,847,0.218863049
deal,of,599,0.154780362
deal,with,2424,0.626356589
dealing,with,1356,1
dealt,with,328,1
death,.,1411,0.48925104
death,and,577,0.200069348
death,in,36,0.012482663
death,of,860,0.298196949
decades,.,36,1
december,.,488,1
decide,to,914,1
decided,i,191,0.021572171
decided,it,39,0.004404789
decided,that,1386,0.156539417
decided,to,7238,0.817483623
decides,to,347,1
decision,.,491,0.362361624
decision,to,864,0.637638376
decisions,.,36,1
dedicated,to,638,1
deep,in,36,1
definitely,a,471,0.614080834
definitely,not,296,0.385919166
definition,of,512,1
degree,in,39,0.348214286
degree,of,73,0.651785714
degrees,.,230,1
delicious,.,633,1
department,.,74,0.086247086
department,of,784,0.913752914
depend,on,45,1
depending,on,1285,1
depends,on,567,1
describe,the,37,1
described,as,631,1
description,of,416,1
design,.,695,0.395335609
design,and,358,0.203640501
design,team,705,0.401023891
designed,to,1111,1
designs,.,81,1
desire,to,1305,1
despite,the,1548,1
destruction,of,36,1
detail,.,36,1
details,.,659,0.49069248
details,of,684,0.50930752
determined,to,743,1
develop,a,39,1
developed,a,34,1
development,.,308,0.351598174
development,and,35,0.039954338
development,of,533,0.608447489
devoted,to,82,1
di,.,420,1
diagnosed,with,76,1
did,.,2669,0.117256832
did,a,1614,0.070907653
did,and,399,0.017529215
did,get,292,0.012828398
did,have,498,0.02187857
did,he,491,0.021571039
did,i,2078,0.091292505
did,in,290,0.012740532
did,it,1490,0.065459977
did,my,112,0.004920482
did,not,6922,0.30410333
did,so,37,0.001625516
did,some,243,0.010675688
did,that,535,0.023504086
did,the,1484,0.06519638
did,they,382,0.016782357
did,this,667,0.029303225
did,was,73,0.0032071
did,we,110,0.004832616
did,you,2376,0.1043845
didn't,even,459,0.096469105
didn't,get,675,0.14186633
didn't,have,1346,0.282891971
didn't,know,853,0.179277007
didn't,really,199,0.041824296
didn't,think,191,0.040142917
didn't,want,1035,0.217528373
didnut,.,71,0.019372442
didnut,even,243,0.066302865
didnut,get,332,0.09058663
didnut,have,1129,0.308049113
didnut,know,992,0.270668486
didnut,think,74,0.020190996
didnut,want,824,0.224829468
die,.,866,0.960088692
die,cut,36,0.039911308
died,.,453,0.506711409
died,in,441,0.493288591
diet,.,36,1
difference,.,652,0.319138522
difference,between,882,0.431718062
difference,in,509,0.249143417
different,.,1445,0.442708333
different,and,157,0.04810049
different,from,997,0.305453431
different,than,353,0.10814951
different,things,37,0.011335784
different,types,71,0.021752451
different,ways,204,0.0625
difficult,.,314,0.134995701
difficult,for,162,0.069647463
difficult,to,1850,0.795356836
dining,room,529,1
dinner,.,1076,0.687100894
dinner,and,490,0.312899106
directed,by,126,1
direction,.,631,0.883753501
direction,of,83,0.116246499
directly,to,276,1
director,of,751,1
discovered,that,573,1
discuss,the,74,1
discussion,of,36,1
disease,.,223,1
dish,.,548,1
distance,.,39,1
district,of,57,1
do,.,7440,0.111074617
do,a,2511,0.037487683
do,about,36,0.000537458
do,all,582,0.008688901
do,and,1200,0.017915261
do,anything,1113,0.016616404
do,as,276,0.00412051
do,but,527,0.007867785
do,everything,36,0.000537458
do,for,714,0.01065958
do,have,1217,0.01816906
do,i,2760,0.0412051
do,in,853,0.012734765
do,is,1692,0.025260518
do,it,5019,0.074930578
do,know,454,0.00677794
do,like,40,0.000597175
do,love,37,0.000552387
do,more,321,0.004792332
do,my,635,0.009480159
do,not,8404,0.125466543
do,so,1959,0.029246663
do,some,836,0.012480965
do,something,1547,0.023095757
do,that,2367,0.035337852
do,the,2948,0.044011824
do,they,879,0.013122929
do,things,543,0.008106656
do,this,2563,0.038264011
do,to,1332,0.01988594
do,was,81,0.00120928
do,we,1489,0.022229853
do,well,76,0.001134633
do,what,1125,0.016795557
do,when,545,0.008136514
do,with,3828,0.057149682
do,you,8893,0.132767012
do,your,104,0.001552656
doctor,.,109,0.333333333
doctor,who,218,0.666666667
does,.,862,0.076486247
does,a,562,0.049866903
does,have,121,0.010736469
does,he,112,0.009937888
does,it,1473,0.130700976
does,not,5680,0.503992902
does,that,773,0.068589175
does,the,903,0.080124224
does,this,784,0.069565217
doesn't,have,437,0.795992714
doesn't,mean,112,0.204007286
doesnut,have,591,0.496221662
doesnut,make,38,0.031905961
doesnut,matter,77,0.064651553
doesnut,mean,485,0.407220823
dog,.,508,0.933823529
dog,and,36,0.066176471
dogs,.,232,1
doing,.,1106,0.141359918
doing,a,1142,0.145961145
doing,and,40,0.005112474
doing,it,1237,0.158103272
doing,so,791,0.101099182
doing,some,82,0.010480573
doing,something,613,0.078348671
doing,that,320,0.040899796
doing,the,1091,0.13944274
doing,things,36,0.004601227
doing,this,901,0.115158487
doing,what,465,0.059432515
dollars,.,74,1
don,.,117,1
don't,.,54,0.003540984
don't,be,36,0.002360656
don't,care,292,0.019147541
don't,do,75,0.004918033
don't,even,602,0.03947541
don't,feel,115,0.007540984
don't,forget,564,0.036983607
don't,get,922,0.060459016
don't,have,2877,0.188655738
don't,know,3429,0.224852459
don't,like,885,0.058032787
don't,need,571,0.037442623
don't,really,497,0.032590164
don't,remember,37,0.00242623
don't,see,37,0.00242623
don't,think,1640,0.107540984
don't,want,1812,0.118819672
don't,worry,182,0.011934426
don't,you,623,0.040852459
done,.,2768,0.361546499
done,a,491,0.064132706
done,and,700,0.091431557
done,by,291,0.038009404
done,for,372,0.048589342
done,in,817,0.106713689
done,it,546,0.071316614
done,on,33,0.004310345
done,so,36,0.004702194
done,that,42,0.005485893
done,the,74,0.009665622
done,this,78,0.010188088
done,to,600,0.078369906
done,with,808,0.10553814
donut,.,176,0.012346545
donut,be,37,0.00259558
donut,believe,74,0.005191161
donut,care,331,0.023219923
donut,do,33,0.002314977
donut,even,549,0.038512803
donut,feel,124,0.008698702
donut,get,869,0.060961066
donut,have,2532,0.177621887
donut,know,3309,0.232129078
donut,like,899,0.063065591
donut,need,659,0.046229393
donut,really,530,0.037179937
donut,see,239,0.016766047
donut,think,1641,0.115117503
donut,want,1868,0.13104174
donut,you,385,0.027008067
door,.,1376,0.534161491
door,and,695,0.269798137
door,to,505,0.196040373
dose,of,37,1
doubt,that,537,1
dough,.,39,1
down,.,3509,0.15899411
down,a,1061,0.048074309
down,an,44,0.001993657
down,and,2636,0.119438151
down,at,589,0.026687812
down,by,294,0.013321251
down,for,577,0.026144087
down,from,554,0.025101948
down,in,1184,0.053647485
down,into,206,0.009333937
down,my,345,0.01563208
down,on,1253,0.056773901
down,the,4998,0.22646126
down,there,33,0.001495242
down,to,4071,0.184458541
down,with,716,0.032442229
dozens,of,330,1
dr,.,194,1
drawn,to,296,1
dream,.,665,0.616883117
dream,of,413,0.383116883
dreams,.,511,1
dress,.,475,1
dressed,in,36,1
drink,.,373,1
drive,.,120,0.478087649
drive,to,131,0.521912351
dry,.,214,1
ds,an,73,1
du,.,206,1
due,to,4529,1
during,a,945,0.103595703
during,his,270,0.029598772
during,my,705,0.077285683
during,that,78,0.008550756
during,the,6387,0.7001754
during,this,737,0.080793686
e,.,331,0.181369863
e,a,132,0.072328767
e,are,155,0.084931507
e,been,164,0.089863014
e,i,127,0.069589041
e,is,216,0.118356164
e,it,36,0.019726027
e,of,175,0.095890411
e,people,34,0.018630137
e,the,226,0.123835616
e,to,36,0.019726027
e,you,193,0.105753425
ea,.,292,1
each,.,475,0.039308176
each,and,807,0.066782522
each,day,1187,0.098229063
each,of,2140,0.177093678
each,one,728,0.060244952
each,other,5069,0.419480305
each,time,673,0.055693479
each,week,421,0.034839457
each,year,584,0.048328368
eager,to,371,1
earlier,.,241,0.25209205
earlier,in,157,0.164225941
earlier,this,558,0.583682008
early,.,338,0.256449165
early,in,458,0.347496206
early,on,246,0.186646434
early,s,276,0.209408194
ears,.,40,1
earth,.,1102,0.764746704
earth,and,339,0.235253296
easier,.,364,0.236363636
easier,for,116,0.075324675
easier,to,1060,0.688311688
easily,.,236,1
easy,.,972,0.192972007
easy,and,561,0.111375819
easy,for,276,0.054794521
easy,to,3228,0.640857653
eat,.,679,0.584337349
eat,a,83,0.071428571
eat,and,78,0.067125645
eat,it,115,0.098967298
eat,on,132,0.113597246
eat,the,75,0.06454389
economy,.,156,1
ed,.,37,0.513888889
ed,to,35,0.486111111
edge,.,38,0.038696538
edge,of,944,0.961303462
edges,of,37,1
edition,of,69,1
education,.,488,0.598773006
education,and,327,0.401226994
effect,.,437,0.369399831
effect,of,270,0.228233305
effect,on,476,0.402366864
effects,of,564,1
effort,.,157,0.129966887
effort,to,1051,0.870033113
efforts,to,474,1
eggs,.,303,0.552919708
eggs,and,245,0.447080292
ei,.,34,1
either,.,1758,0.67771781
either,of,189,0.072860447
either,the,37,0.014263685
either,way,610,0.235158057
el,.,98,1
elements,of,299,1
else,.,2035,0.604036806
else,i,36,0.010685663
else,in,285,0.084594835
else,is,468,0.138913624
else,to,545,0.161769071
em,.,81,1
email,.,203,0.29
email,me,497,0.71
emphasis,on,71,1
en,.,213,1
encourage,you,34,1
encouraged,to,37,1
end,.,2020,0.151628885
end,and,243,0.018240504
end,as,39,0.002927488
end,i,325,0.024395736
end,of,7783,0.584221588
end,the,326,0.0244708
end,to,389,0.02919982
end,up,2197,0.164915178
ended,up,2529,1
ends,.,116,0.179012346
ends,up,532,0.820987654
energy,.,496,0.534482759
energy,and,396,0.426724138
energy,to,36,0.038793103
engage,in,118,1
engaged,in,187,1
england,.,189,1
english,.,217,1
enjoy,.,993,0.313150426
enjoy,a,158,0.049826553
enjoy,it,552,0.174077578
enjoy,the,1468,0.462945443
enjoyed,it,163,0.197336562
enjoyed,the,663,0.802663438
enjoying,the,529,1
enough,.,1821,0.171792453
enough,and,120,0.011320755
enough,for,1263,0.119150943
enough,of,694,0.065471698
enough,that,416,0.039245283
enough,time,234,0.022075472
enough,to,6052,0.570943396
ensure,that,686,1
enter,the,684,1
entered,the,241,1
entry,.,74,1
environment,.,466,1
episode,.,71,0.22829582
episode,of,240,0.77170418
equivalent,of,38,1
er,.,40,0.11627907
er,a,100,0.290697674
er,all,78,0.226744186
er,the,126,0.36627907
es,.,97,1
especially,for,81,0.02536005
especially,if,707,0.221352536
especially,in,655,0.20507201
especially,since,195,0.061051972
especially,the,610,0.190983093
especially,when,946,0.296180338
essence,of,38,1
et,al,352,1
etc,.,2654,0.943812233
etc,and,80,0.028449502
etc,etc,78,0.027738265
europe,.,196,1
ev,.,995,1
even,.,125,0.005506608
even,a,1556,0.068546256
even,after,423,0.018634361
even,as,636,0.028017621
even,be,197,0.008678414
even,better,683,0.030088106
even,get,156,0.006872247
even,had,72,0.003171806
even,have,674,0.02969163
even,if,4377,0.192819383
even,in,1157,0.050969163
even,know,681,0.03
even,more,2834,0.124845815
even,the,2371,0.104449339
even,though,4579,0.201718062
even,to,118,0.005198238
even,when,1360,0.059911894
even,with,701,0.030881057
evening,.,854,1
event,.,937,1
events,.,604,0.82626539
events,and,127,0.17373461
ever,.,1353,0.264412742
ever,be,158,0.030877467
ever,been,509,0.099472347
ever,had,639,0.124877858
ever,have,115,0.022474106
ever,i,106,0.020715263
ever,known,355,0.069376588
ever,seen,924,0.180574555
ever,since,921,0.179988274
ever,the,37,0.007230799
every,.,106,0.010552514
every,day,3050,0.303633649
every,morning,157,0.015629667
every,night,473,0.047088104
every,now,80,0.007964161
every,one,634,0.063115978
every,other,610,0.06072673
every,single,1252,0.124639124
every,time,2199,0.218914883
every,week,493,0.049079144
every,year,991,0.098656048
everyday,.,196,1
everyone,.,1499,0.26931369
everyone,and,71,0.012756019
everyone,else,1053,0.189184333
everyone,has,428,0.076895437
everyone,in,504,0.090549766
everyone,is,899,0.161516349
everyone,to,147,0.026410349
everyone,was,188,0.0337765
everyone,who,777,0.139597557
everything,.,1488,0.22100104
everything,and,453,0.067280558
everything,else,716,0.106341898
everything,from,242,0.035942373
everything,i,799,0.118669241
everything,in,764,0.113470964
everything,is,901,0.133818506
everything,that,738,0.109609387
everything,was,346,0.051388683
everything,you,286,0.04247735
everywhere,.,658,1
evidence,of,574,0.809590973
evidence,that,135,0.190409027
evil,.,124,1
ex,.,202,1
exactly,how,146,0.064831261
exactly,the,668,0.296625222
exactly,what,1438,0.638543517
example,.,689,0.30952381
example,of,1501,0.674303684
example,the,36,0.016172507
examples,of,660,1
except,for,1147,0.939393939
except,that,36,0.029484029
except,the,38,0.031122031
exception,of,45,1
excited,.,509,0.15608709
excited,about,1092,0.334866605
excited,for,37,0.011346213
excited,to,1623,0.497700092
exciting,.,80,1
excuse,to,79,1
exercise,.,121,1
exist,.,383,1
existence,.,80,0.4
existence,of,120,0.6
expect,.,34,0.055194805
expect,to,582,0.944805195
expected,.,168,0.136807818
expected,to,1060,0.863192182
experience,.,1590,0.433360589
experience,and,572,0.15590079
experience,in,330,0.089942764
experience,of,727,0.198146634
experience,the,151,0.041155628
experience,with,299,0.081493595
experiences,.,42,1
explain,the,151,1
explained,that,39,1
explore,the,107,1
exposed,to,151,1
eye,.,679,0.690742625
eye,and,36,0.036622584
eye,on,268,0.272634791
eyes,.,1624,0.537926466
eyes,and,1022,0.33852269
eyes,are,37,0.012255714
eyes,of,336,0.111295131
f,.,424,0.900212314
f,the,47,0.099787686
fa,.,284,1
fabric,.,190,1
face,.,1717,0.436562421
face,and,746,0.189677091
face,it,189,0.04805492
face,of,908,0.230867023
face,the,303,0.077040427
face,to,70,0.017798118
facebook,.,322,0.325252525
facebook,and,199,0.201010101
facebook,page,469,0.473737374
faced,with,241,1
fact,.,330,0.040224281
fact,i,909,0.11079961
fact,is,188,0.022915651
fact,it,156,0.019015115
fact,that,5946,0.724768406
fact,the,675,0.082276938
fail,.,38,0.069981584
fail,to,505,0.930018416
failed,to,928,1
fails,to,38,1
failure,.,42,1
fair,.,198,0.846153846
fair,to,36,0.153846154
faith,.,669,0.366575342
faith,and,500,0.273972603
faith,in,656,0.359452055
fake,fake,33,1
fall,.,649,0.392382104
fall,in,586,0.354292624
fall,into,311,0.188029021
fall,of,108,0.065296252
familiar,with,905,1
families,.,137,0.787356322
families,and,37,0.212643678
family,.,2834,0.43240769
family,and,2152,0.3283491
family,in,110,0.016783644
family,is,335,0.051113824
family,members,565,0.086206897
family,of,315,0.048062252
family,to,243,0.037076594
fan,of,1482,1
fans,.,43,0.221649485
fans,of,151,0.778350515
fantastic,.,113,1
far,.,1198,0.177771183
far,and,36,0.005342039
far,as,1821,0.270218133
far,away,674,0.100014839
far,from,1116,0.165603205
far,more,1080,0.160261166
far,the,112,0.016619677
far,too,702,0.104169758
fashion,.,37,1
fast,.,681,0.632899628
fast,and,395,0.367100372
faster,than,151,1
father,.,720,0.521361332
father,and,621,0.449674149
father,of,40,0.028964518
fault,.,37,1
favor,of,75,1
favorite,.,165,1
fe,.,128,1
fear,.,540,0.293478261
fear,and,203,0.110326087
fear,of,1059,0.575543478
fear,that,38,0.020652174
february,.,550,1
federal,government,77,1
fee,.,38,1
feel,.,593,0.051520417
feel,a,771,0.06698523
feel,about,75,0.006516073
feel,as,232,0.020156386
feel,better,489,0.042484796
feel,free,979,0.085056473
feel,good,315,0.027367507
feel,it,468,0.040660295
feel,like,4139,0.359600348
feel,of,35,0.003040834
feel,so,625,0.054300608
feel,that,1248,0.108427454
feel,the,1541,0.133883579
feeling,.,408,0.167213115
feeling,a,157,0.064344262
feeling,like,314,0.128688525
feeling,of,850,0.348360656
feeling,that,635,0.260245902
feeling,the,76,0.031147541
feelings,.,38,0.322033898
feelings,of,80,0.677966102
feels,like,1112,1
feet,.,772,0.794238683
feet,and,200,0.205761317
fell,in,564,1
felt,a,517,0.133384933
felt,like,1876,0.484004128
felt,so,193,0.049793602
felt,that,663,0.171052632
felt,the,627,0.161764706
festival,.,193,1
few,.,253,0.016297346
few,days,2577,0.166001031
few,hours,759,0.048892038
few,minutes,1234,0.079489822
few,months,1544,0.099458902
few,more,1002,0.06454522
few,of,1490,0.095980417
few,other,180,0.01159495
few,people,531,0.034205102
few,things,819,0.052757021
few,times,792,0.051017779
few,weeks,2246,0.144679206
few,years,2097,0.135081165
fi,.,579,1
fiction,.,220,1
field,.,494,0.705714286
field,of,206,0.294285714
fight,.,214,0.753521127
fight,for,70,0.246478873
figure,out,1974,1
figured,out,570,1
fill,in,36,0.162895928
fill,the,185,0.837104072
filled,with,2349,1
film,.,1055,0.562366738
film,and,276,0.147121535
film,is,545,0.290511727
final,.,41,1
finally,got,484,0.668508287
finally,i,240,0.331491713
find,.,297,0.021356152
find,a,3169,0.227870856
find,it,1803,0.12964694
find,my,74,0.005321061
find,myself,843,0.060616955
find,out,2230,0.160350902
find,some,467,0.033580211
find,something,324,0.02329762
find,that,1363,0.098008197
find,the,2350,0.168979651
find,them,235,0.016897965
find,this,363,0.026101963
find,your,43,0.003091968
find,yourself,346,0.024879557
finding,a,330,0.812807882
finding,the,76,0.187192118
fine,.,1086,0.967914439
fine,and,36,0.032085561
fingers,.,38,1
finish,.,460,0.550239234
finish,the,376,0.449760766
finished,.,361,0.497245179
finished,the,330,0.454545455
finished,with,35,0.048209366
fire,.,675,0.663064833
fire,and,343,0.336935167
first,.,1599,0.105225059
first,and,1020,0.067122927
first,book,499,0.032837589
first,day,840,0.055277705
first,few,315,0.020729139
first,half,40,0.002632272
first,i,903,0.059423533
first,in,109,0.00717294
first,novel,38,0.002500658
first,of,1164,0.076599105
first,one,715,0.047051856
first,person,146,0.009607792
first,place,1031,0.067846802
first,step,80,0.005264543
first,the,76,0.005001316
first,thing,843,0.055475125
first,time,4149,0.273032377
first,to,672,0.044222164
first,two,558,0.03672019
first,year,399,0.02625691
fish,.,76,1
fit,.,356,0.300929839
fit,i,63,0.053254438
fit,in,581,0.49112426
fit,into,36,0.030431107
fit,the,147,0.124260355
five,minutes,469,0.351837959
five,years,864,0.648162041
fl,.,61,1
flavor,.,225,1
floor,.,918,0.737942122
floor,and,326,0.262057878
flour,.,438,0.796363636
flour,and,112,0.203636364
flow,of,37,1
flowers,.,614,0.594385286
flowers,and,419,0.405614714
fo,.,1597,1
focus,on,2063,1
focused,on,995,1
focusing,on,588,1
folks,.,205,1
follow,.,242,0.210617929
follow,the,907,0.789382071
followed,by,1238,0.937878788
followed,the,82,0.062121212
following,.,49,0.04885344
following,a,71,0.070787637
following,the,883,0.880358923
follows,.,83,1
fond,of,73,1
food,.,1698,0.471797722
food,and,1565,0.434843012
food,for,77,0.021394832
food,is,217,0.060294526
food,processor,42,0.011669908
foods,.,33,1
for,.,3272,0.013281754
for,a,33761,0.137043186
for,about,1934,0.007850523
for,all,4510,0.018307063
for,almost,330,0.001339541
for,an,3610,0.014653769
for,and,915,0.003714182
for,another,1692,0.006868193
for,any,1445,0.005865567
for,anyone,741,0.003007879
for,anything,295,0.001197469
for,as,416,0.001688634
for,at,760,0.003085004
for,awhile,235,0.000953916
for,being,1259,0.005110553
for,both,793,0.003218958
for,breakfast,366,0.001485673
for,children,473,0.001920009
for,christmas,685,0.002780563
for,days,681,0.002764326
for,dinner,971,0.003941499
for,each,1604,0.006510982
for,every,890,0.003612702
for,everyone,968,0.003929321
for,everything,226,0.000917383
for,example,3104,0.012599806
for,free,810,0.003287965
for,fun,81,0.000328796
for,future,38,0.00015425
for,getting,36,0.000146132
for,god,75,0.000304441
for,good,732,0.002971346
for,granted,159,0.000645415
for,having,242,0.00098233
for,help,515,0.002090496
for,her,4493,0.018238057
for,him,2731,0.011085718
for,his,3516,0.014272203
for,hours,977,0.003965854
for,how,243,0.000986389
for,i,568,0.002305635
for,in,452,0.001834766
for,instance,1077,0.004371775
for,it,3822,0.015514323
for,its,1113,0.004517907
for,just,592,0.002403056
for,kids,163,0.000661652
for,life,481,0.001952483
for,long,151,0.000612942
for,lunch,646,0.002622253
for,m,39,0.000158309
for,making,595,0.002415233
for,many,1459,0.005922396
for,me,13208,0.053614123
for,minutes,1903,0.007724688
for,months,644,0.002614135
for,more,2520,0.010229224
for,most,886,0.003596465
for,my,8263,0.0335413
for,myself,959,0.003892788
for,new,557,0.002260983
for,next,78,0.000316619
for,no,318,0.001290831
for,not,904,0.003669531
for,now,1739,0.007058976
for,one,2247,0.009121058
for,other,432,0.001753581
for,others,361,0.001465377
for,our,3594,0.014588822
for,over,835,0.003389445
for,people,1035,0.004201288
for,quite,415,0.001684575
for,reading,153,0.00062106
for,real,37,0.000150191
for,sale,563,0.002285339
for,several,782,0.003174307
for,so,823,0.003340735
for,some,4051,0.016443883
for,someone,795,0.003227077
for,something,1078,0.004375835
for,stopping,506,0.002053963
for,such,453,0.001838825
for,sure,975,0.003957735
for,t,90,0.000365329
for,taking,37,0.000150191
for,that,3586,0.014556348
for,the,57502,0.233413029
for,their,3617,0.014682184
for,them,3248,0.013184333
for,themselves,411,0.001668338
for,these,949,0.003852196
for,things,41,0.000166428
for,this,7141,0.02898686
for,those,3769,0.015299185
for,three,595,0.002415233
for,to,37,0.000150191
for,today,558,0.002265042
for,two,1205,0.004891355
for,us,3678,0.014929796
for,weeks,340,0.001380133
for,what,1668,0.006770772
for,whatever,76,0.0003085
for,when,239,0.000970153
for,which,655,0.002658786
for,women,203,0.000824021
for,work,520,0.002110792
for,years,2527,0.010257638
for,you,5998,0.024347177
for,your,4116,0.016707732
for,yourself,691,0.002804918
force,.,81,1
forced,to,1236,1
forever,.,1068,1
forget,about,190,0.105146652
forget,that,354,0.195904815
forget,the,500,0.276701716
forget,to,763,0.422246818
forgot,to,619,1
form,.,674,0.218122977
form,a,200,0.064724919
form,of,2216,0.717152104
forms,of,513,1
forth,.,36,1
forward,.,502,0.132944915
forward,to,3274,0.867055085
found,.,476,0.044440295
found,a,1863,0.17393334
found,in,1371,0.127999253
found,it,983,0.091774811
found,myself,863,0.080571375
found,on,457,0.042666418
found,out,1297,0.121090468
found,that,1356,0.126598824
found,the,1307,0.122024087
found,this,738,0.06890113
four,days,36,0.038961039
four,of,167,0.180735931
four,years,721,0.78030303
fr,.,533,1
frame,.,119,1
free,.,1245,0.344493636
free,and,513,0.14194798
free,from,110,0.030437189
free,of,184,0.050913116
free,to,1562,0.43220808
freedom,.,172,0.264208909
freedom,of,442,0.678955453
freedom,to,37,0.056835637
fresh,and,107,1
friday,.,772,0.542515812
friday,and,109,0.076598735
friday,night,542,0.380885453
friend,.,1309,0.351976338
friend,and,842,0.226404948
friend,of,950,0.255445012
friend,who,618,0.166173703
friends,.,2751,0.398233932
friends,and,2432,0.352055588
friends,are,157,0.022727273
friends,i,72,0.010422698
friends,in,234,0.03387377
friends,that,39,0.005645628
friends,to,113,0.016357846
friends,who,649,0.093949045
friends,with,461,0.066734221
from,.,1580,0.019111208
from,a,8364,0.101168445
from,all,1320,0.015966326
from,amazon,38,0.000459637
from,an,1232,0.014901904
from,and,148,0.001790164
from,another,37,0.000447541
from,any,157,0.001899025
from,around,36,0.000435445
from,being,838,0.010136198
from,each,336,0.004064156
from,god,151,0.001826451
from,her,1791,0.021663401
from,here,420,0.005080194
from,him,577,0.00697922
from,his,2081,0.025171154
from,home,626,0.007571909
from,it,921,0.011140141
from,its,420,0.005080194
from,last,529,0.006398626
from,me,1175,0.014212449
from,my,4961,0.060006774
from,now,547,0.006616349
from,one,1309,0.015833273
from,other,601,0.007269516
from,our,1810,0.021893219
from,people,35,0.00042335
from,school,278,0.003362605
from,scratch,36,0.000435445
from,some,398,0.004814089
from,that,1280,0.015482498
from,the,37793,0.457132835
from,their,1735,0.020986042
from,them,665,0.008043641
from,there,712,0.008612139
from,these,79,0.00095556
from,this,1943,0.023501947
from,those,276,0.003338414
from,time,541,0.006543774
from,to,858,0.010378112
from,us,117,0.001415197
from,what,820,0.009918475
from,where,305,0.003689189
from,which,405,0.004898759
from,work,497,0.006011563
from,you,675,0.008164598
from,your,1221,0.014768851
front,.,244,0.053066551
front,and,224,0.048716833
front,door,417,0.090691605
front,of,3713,0.807525011
fruit,.,111,0.606557377
fruit,and,72,0.393442623
fu,.,158,1
fukushima,daiichi,43,1
full,.,80,0.018903592
full,of,4036,0.9536862
full,time,116,0.027410208
fun,.,2674,0.441691444
fun,and,1461,0.241328048
fun,of,156,0.025768087
fun,to,1340,0.221341262
fun,with,423,0.06987116
funny,.,634,0.886713287
funny,and,81,0.113286713
further,.,151,1
future,.,1788,0.837863168
future,of,346,0.162136832
g,.,309,1
ga,.,110,1
game,.,1500,0.605815832
game,and,343,0.138529887
game,is,71,0.028675283
game,of,562,0.226978998
games,.,754,0.764705882
games,and,232,0.235294118
garden,.,684,0.95132128
garden,and,35,0.04867872
garlic,and,36,1
gave,a,123,0.029868868
gave,her,123,0.029868868
gave,him,488,0.118504128
gave,it,420,0.101991258
gave,me,1795,0.435891209
gave,the,343,0.083292861
gave,up,352,0.085478388
gave,us,474,0.11510442
ge,.,231,1
general,.,227,1
generation,of,38,1
get,.,628,0.014274025
get,a,6360,0.144558596
get,all,551,0.012523866
get,an,634,0.014410401
get,any,282,0.006409674
get,around,36,0.000818256
get,away,647,0.014705882
get,back,1653,0.037571597
get,better,323,0.007341577
get,her,578,0.013137558
get,him,270,0.006136922
get,his,69,0.001568324
get,home,275,0.006250568
get,in,1267,0.028798073
get,into,1235,0.028070734
get,it,2303,0.052345668
get,me,1309,0.029752705
get,more,624,0.014183108
get,my,1469,0.033389399
get,off,238,0.005409583
get,on,930,0.021138285
get,one,266,0.006046004
